nfhs4_state,nfhs4_statecode,SL_NO,ITEM_CATEGORY,region,P0-05,P05-10,P10-20,P20-30,P30-40,P40-50,P50-60,P60-70,P70-80,P80-90,P90-95,P95-100,ALL
India,IN,21,medical (institutional),Urban,7.71,8.74,14.9,21.29,27.83,33.18,42.33,46.98,61.08,73.42,124.34,243.72,51.33
India,IN,22,medical (non-institutional),Urban,21.91,32.29,41.34,49.3,59.8,74.62,87.37,100.94,120.64,139.91,216.46,476.53,104.75
India,IN,23,entertainment,Urban,13.3,20.97,29.72,38.22,45.12,54.82,62.97,71.09,87.66,111.44,144.44,265.01,72.29
India,IN,24,minor durable-type goods,Urban,2.58,3.24,4.47,6.54,8.01,9.4,13.14,15.29,17.84,22.88,31.28,67.94,15.01
India,IN,25,toilet articles,Urban,27.14,33.38,40.24,48.24,55.14,59.24,65.62,73.91,84.06,101.66,128.91,170.7,70.82
India,IN,26,other household consumables,Urban,20.11,26.68,32.34,41.62,46.59,54.27,61.09,69.52,79.15,95.38,120.1,167.11,64.7
India,IN,27,consum. services excl. conveyance,Urban,44.25,59.11,72.84,91.38,102.76,125.75,145.89,165.82,218.77,287.78,426.97,1020.73,198.65
India,IN,28,conveyance,Urban,31.06,48.34,78.36,110.21,139.01,187.27,229.87,281.41,343.55,470.11,595.29,1040.77,269.76
India,IN,29,rent,Urban,13.53,18.24,37.68,64.72,105.68,127.54,180.23,253.53,307.53,541.03,669.48,1569.54,275.34
India,IN,30,taxes & cesses,Urban,7.15,9.88,13.86,17.38,19.53,22.26,27.01,30.36,38.22,50.61,55.22,128.43,31.96
India,IN,31,durable goods,Urban,20.43,33.89,49.25,63.41,84.23,111.17,147.47,182.72,246.4,338.6,451.44,1145.15,204.87
India,IN,32,non-food: total (16-31),Urban,490.84,660.51,857.98,1070.49,1281.88,1548.06,1831.77,2176.65,2681.07,3523.57,4607.44,9117.38,2240.99
India,IN,33,total expenditure (15+32),Urban,1126.36,1464.29,1816.49,2185.76,2545.62,2932.12,3374.93,3895.47,4625.67,5740.34,7332.04,13017.21,3858.7
India,IN,34,cooked meals recd. free in workpl.*,Urban,1.26,0.77,1.51,2.24,2.2,3.41,3.87,9.27,11.45,11.29,74.91,23.81,9.56
India,IN,35,cooked meals recd. as assistance *,Urban,18,23.65,21.29,14.98,16.04,11.41,11.26,15.21,6.68,6.04,3.42,2.71,12.68
India,IN,36,clothing & footwear (2nd hand) **,Urban,0.67,0.67,0.69,0.51,0.4,0.28,0.33,0.22,0.17,0.19,1.57,0.15,0.43
India,IN,37,"@books, journals, etc. (2nd hand)",Urban,0.27,0.57,0.47,0.73,0.65,0.7,0.59,0.9,1,1.21,1.02,1.57,0.8
India,IN,38,"$durables (2ndhand)",Urban,0.51,0.63,0.78,0.86,2.23,1.26,2.06,2.47,5,2.21,1.77,11.74,2.42
India,IN,39,imputed rent,Urban,264.08,311.21,373.49,445.31,467.2,566.78,628.39,708.72,910.78,1062.19,1356.56,2583.18,742.05
