nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,mpce
CT,Chhattisgarh,25,toilet articles,Rural,39.5
AP,Andhra Pradesh,26,other household consumables,Rural,54.56
AR,Arunachal Pradesh,26,other household consumables,Rural,38.27
AS,Assam,26,other household consumables,Rural,21.48
BR,Bihar,26,other household consumables,Rural,23.81
CT,Chhattisgarh,26,other household consumables,Rural,32.92
AP,Andhra Pradesh,27,consum. services excl. conveyance,Rural,98.79
AR,Arunachal Pradesh,27,consum. services excl. conveyance,Rural,87.5
AS,Assam,27,consum. services excl. conveyance,Rural,55.42
BR,Bihar,27,consum. services excl. conveyance,Rural,57.78
CT,Chhattisgarh,27,consum. services excl. conveyance,Rural,58.4
AP,Andhra Pradesh,28,conveyance,Rural,130.77
AR,Arunachal Pradesh,28,conveyance,Rural,71.98
AS,Assam,28,conveyance,Rural,54.9
BR,Bihar,28,conveyance,Rural,34.55
CT,Chhattisgarh,28,conveyance,Rural,65.73
AP,Andhra Pradesh,29,rent,Rural,24.72
AR,Arunachal Pradesh,29,rent,Rural,19.92
AS,Assam,29,rent,Rural,3.48
BR,Bihar,29,rent,Rural,0.42
CT,Chhattisgarh,29,rent,Rural,6.53
AP,Andhra Pradesh,30,taxes & cesses,Rural,9.67
AR,Arunachal Pradesh,30,taxes & cesses,Rural,4.03
AS,Assam,30,taxes & cesses,Rural,1.78
BR,Bihar,30,taxes & cesses,Rural,0.2
CT,Chhattisgarh,30,taxes & cesses,Rural,2.83
AP,Andhra Pradesh,31,durable goods,Rural,71.79
AR,Arunachal Pradesh,31,durable goods,Rural,98.04
AS,Assam,31,durable goods,Rural,48.45
BR,Bihar,31,durable goods,Rural,50.73
CT,Chhattisgarh,31,durable goods,Rural,72.97
AP,Andhra Pradesh,32,non-food: total (16-31),Rural,1128.86
AR,Arunachal Pradesh,32,non-food: total (16-31),Rural,1056.64
AS,Assam,32,non-food: total (16-31),Rural,645.05
BR,Bihar,32,non-food: total (16-31),Rural,586.55
CT,Chhattisgarh,32,non-food: total (16-31),Rural,698.4
AP,Andhra Pradesh,33,total expenditure (15+32),Rural,2386.49
AR,Arunachal Pradesh,33,total expenditure (15+32),Rural,2347.43
AS,Assam,33,total expenditure (15+32),Rural,1554.55
BR,Bihar,33,total expenditure (15+32),Rural,1387.93
CT,Chhattisgarh,33,total expenditure (15+32),Rural,1377.76
AP,Andhra Pradesh,34,"cooked meals recd. free inworkpl.*",Rural,3.9
AR,Arunachal Pradesh,34,"cooked meals recd. free inworkpl.*",Rural,9.5
AS,Assam,34,"cooked meals recd. free inworkpl.*",Rural,1.5
BR,Bihar,34,"cooked meals recd. free inworkpl.*",Rural,1.47
CT,Chhattisgarh,34,"cooked meals recd. free inworkpl.*",Rural,2.25
AP,Andhra Pradesh,35,cooked meals recd. as assistance *,Rural,24.93
AR,Arunachal Pradesh,35,cooked meals recd. as assistance *,Rural,3.59
AS,Assam,35,cooked meals recd. as assistance *,Rural,20.86
BR,Bihar,35,cooked meals recd. as assistance *,Rural,30.45
CT,Chhattisgarh,35,cooked meals recd. as assistance *,Rural,54.85
AP,Andhra Pradesh,36,clothing & footwear (2nd hand) **,Rural,0.02
AR,Arunachal Pradesh,36,clothing & footwear (2nd hand) **,Rural,4.91
AS,Assam,36,clothing & footwear (2nd hand) **,Rural,0.23
BR,Bihar,36,clothing & footwear (2nd hand) **,Rural,0.05
CT,Chhattisgarh,36,clothing & footwear (2nd hand) **,Rural,0.09
AP,Andhra Pradesh,37,"@books, journals, etc. (2nd hand)",Rural,0.19
AR,Arunachal Pradesh,37,"@books, journals, etc. (2nd hand)",Rural,0.26
AS,Assam,37,"@books, journals, etc. (2nd hand)",Rural,0.46
BR,Bihar,37,"@books, journals, etc. (2nd hand)",Rural,0.34
CT,Chhattisgarh,37,"@books, journals, etc. (2nd hand)",Rural,0.26
AP,Andhra Pradesh,38,"$durables (2ndhand)",Rural,0.31
AR,Arunachal Pradesh,38,"$durables (2ndhand)",Rural,8
AS,Assam,38,"$durables (2ndhand)",Rural,0.61
BR,Bihar,38,"$durables (2ndhand)",Rural,0.35
CT,Chhattisgarh,38,"$durables (2ndhand)",Rural,0.98
AP,Andhra Pradesh,39,imputed rent,Rural,153.05
AR,Arunachal Pradesh,39,imputed rent,Rural,12.99
AS,Assam,39,imputed rent,Rural,20.12
BR,Bihar,39,imputed rent,Rural,8.08
CT,Chhattisgarh,39,imputed rent,Rural,27.55
DL,NCT of Delhi,1,cereal,Rural,174.28
GA,Goa,1,cereal,Rural,160.63
GJ,Gujarat,1,cereal,Rural,137.73
HR,Haryana,1,cereal,Rural,126.46
HP,Himachal Pradesh,1,cereal,Rural,199.23
DL,NCT of Delhi,2,gram,Rural,5.37
GA,Goa,2,gram,Rural,3.37
GJ,Gujarat,2,gram,Rural,4.25
HR,Haryana,2,gram,Rural,5.1
HP,Himachal Pradesh,2,gram,Rural,9.02
DL,NCT of Delhi,3,cereal substitutes,Rural,0
GA,Goa,3,cereal substitutes,Rural,0.13
GJ,Gujarat,3,cereal substitutes,Rural,0.52
HR,Haryana,3,cereal substitutes,Rural,0.2
HP,Himachal Pradesh,3,cereal substitutes,Rural,0
DL,NCT of Delhi,4,pulses and pulse products,Rural,54.91
GA,Goa,4,pulses and pulse products,Rural,40.44
GJ,Gujarat,4,pulses and pulse products,Rural,56.92
HR,Haryana,4,pulses and pulse products,Rural,42.61
HP,Himachal Pradesh,4,pulses and pulse products,Rural,69.17
DL,NCT of Delhi,5,milk and milk products,Rural,346.38
GA,Goa,5,milk and milk products,Rural,166.13
GJ,Gujarat,5,milk and milk products,Rural,272.59
HR,Haryana,5,milk and milk products,Rural,570.53
HP,Himachal Pradesh,5,milk and milk products,Rural,330.65
DL,NCT of Delhi,6,sugar,Rural,40.33
GA,Goa,6,sugar,Rural,36.2
GJ,Gujarat,6,sugar,Rural,31.24
HR,Haryana,6,sugar,Rural,47.55
HP,Himachal Pradesh,6,sugar,Rural,34.97
DL,NCT of Delhi,7,salt,Rural,2.96
GA,Goa,7,salt,Rural,2.95
GJ,Gujarat,7,salt,Rural,2.15
HR,Haryana,7,salt,Rural,3.42
HP,Himachal Pradesh,7,salt,Rural,2.15
DL,NCT of Delhi,8,edible oil,Rural,71.52
GA,Goa,8,edible oil,Rural,63.54
GJ,Gujarat,8,edible oil,Rural,95.92
HR,Haryana,8,edible oil,Rural,40.91
HP,Himachal Pradesh,8,edible oil,Rural,70.15
DL,NCT of Delhi,9,"egg, fish & meat",Rural,44.59
GA,Goa,9,"egg, fish & meat",Rural,410.44
GJ,Gujarat,9,"egg, fish & meat",Rural,38.96
HR,Haryana,9,"egg, fish & meat",Rural,21.89
HP,Himachal Pradesh,9,"egg, fish & meat",Rural,49.13
DL,NCT of Delhi,10,vegetables,Rural,175.65
GA,Goa,10,vegetables,Rural,153.9
GJ,Gujarat,10,vegetables,Rural,164.96
HR,Haryana,10,vegetables,Rural,135.33
HP,Himachal Pradesh,10,vegetables,Rural,168.79
DL,NCT of Delhi,11,fruits (fresh),Rural,116.54
GA,Goa,11,fruits (fresh),Rural,240.76
GJ,Gujarat,11,fruits (fresh),Rural,47.6
HR,Haryana,11,fruits (fresh),Rural,59.5
HP,Himachal Pradesh,11,fruits (fresh),Rural,77.76
DL,NCT of Delhi,12,fruits (dry),Rural,52.37
GA,Goa,12,fruits (dry),Rural,20.33
GJ,Gujarat,12,fruits (dry),Rural,16.64
HR,Haryana,12,fruits (dry),Rural,11.49
HP,Himachal Pradesh,12,fruits (dry),Rural,25.65
DL,NCT of Delhi,13,spices,Rural,102.56
GA,Goa,13,spices,Rural,77.65
GJ,Gujarat,13,spices,Rural,68.96
HR,Haryana,13,spices,Rural,64.61
HP,Himachal Pradesh,13,spices,Rural,60.64
DL,NCT of Delhi,14,"beverages, refreshments, etc.",Rural,314.51
GA,Goa,14,"beverages, refreshments, etc.",Rural,258.65
GJ,Gujarat,14,"beverages, refreshments, etc.",Rural,160.85
HR,Haryana,14,"beverages, refreshments, etc.",Rural,146.71
HP,Himachal Pradesh,14,"beverages, refreshments, etc.",Rural,211.66
DL,NCT of Delhi,15,food: total (1-14),Rural,1501.99
GA,Goa,15,food: total (1-14),Rural,1635.12
GJ,Gujarat,15,food: total (1-14),Rural,1099.29
HR,Haryana,15,food: total (1-14),Rural,1276.3
HP,Himachal Pradesh,15,food: total (1-14),Rural,1308.97
DL,NCT of Delhi,16,"pan, tobacco & intoxicants",Rural,28.25
GA,Goa,16,"pan, tobacco & intoxicants",Rural,38.74
GJ,Gujarat,16,"pan, tobacco & intoxicants",Rural,44.03
HR,Haryana,16,"pan, tobacco & intoxicants",Rural,57.61
HP,Himachal Pradesh,16,"pan, tobacco & intoxicants",Rural,72.13
DL,NCT of Delhi,17,fuel and light,Rural,261.64
GA,Goa,17,fuel and light,Rural,201.7
GJ,Gujarat,17,fuel and light,Rural,171.25
HR,Haryana,17,fuel and light,Rural,194.44
HP,Himachal Pradesh,17,fuel and light,Rural,226.72
DL,NCT of Delhi,18,clothing & bedding,Rural,197.58
GA,Goa,18,clothing & bedding,Rural,171.12
GJ,Gujarat,18,clothing & bedding,Rural,140.39
HR,Haryana,18,clothing & bedding,Rural,183.08
HP,Himachal Pradesh,18,clothing & bedding,Rural,201.8
DL,NCT of Delhi,19,footwear,Rural,33.74
GA,Goa,19,footwear,Rural,34.95
GJ,Gujarat,19,footwear,Rural,25.11
HR,Haryana,19,footwear,Rural,34.6
HP,Himachal Pradesh,19,footwear,Rural,54.36
DL,NCT of Delhi,20,education,Rural,128.1
GA,Goa,20,education,Rural,75.84
GJ,Gujarat,20,education,Rural,49.13
HR,Haryana,20,education,Rural,194.28
HP,Himachal Pradesh,20,education,Rural,144.76
DL,NCT of Delhi,21,medical (institutional),Rural,6.81
GA,Goa,21,medical (institutional),Rural,38.37
GJ,Gujarat,21,medical (institutional),Rural,12.63
HR,Haryana,21,medical (institutional),Rural,30.14
HP,Himachal Pradesh,21,medical (institutional),Rural,48.48
DL,NCT of Delhi,22,medical (non-institutional),Rural,47.82
GA,Goa,22,medical (non-institutional),Rural,72.11
GJ,Gujarat,22,medical (non-institutional),Rural,30
HR,Haryana,22,medical (non-institutional),Rural,61.1
HP,Himachal Pradesh,22,medical (non-institutional),Rural,82.79
DL,NCT of Delhi,23,entertainment,Rural,88.77
GA,Goa,23,entertainment,Rural,77.72
GJ,Gujarat,23,entertainment,Rural,35.48
HR,Haryana,23,entertainment,Rural,26.28
HP,Himachal Pradesh,23,entertainment,Rural,35.39
DL,NCT of Delhi,24,minor durable-type goods,Rural,3.05
GA,Goa,24,minor durable-type goods,Rural,4.76
GJ,Gujarat,24,minor durable-type goods,Rural,8.62
HR,Haryana,24,minor durable-type goods,Rural,4.62
HP,Himachal Pradesh,24,minor durable-type goods,Rural,6.61
DL,NCT of Delhi,25,toilet articles,Rural,53.4
GA,Goa,25,toilet articles,Rural,65.51
GJ,Gujarat,25,toilet articles,Rural,40.12
HR,Haryana,25,toilet articles,Rural,46.19
HP,Himachal Pradesh,25,toilet articles,Rural,57.1
DL,NCT of Delhi,26,other household consumables,Rural,55.66
GA,Goa,26,other household consumables,Rural,67.26
GJ,Gujarat,26,other household consumables,Rural,38.22
HR,Haryana,26,other household consumables,Rural,44.82
HP,Himachal Pradesh,26,other household consumables,Rural,44.97
DL,NCT of Delhi,27,consum. services excl. conveyance,Rural,125.02
GA,Goa,27,consum. services excl. conveyance,Rural,228.47
GJ,Gujarat,27,consum. services excl. conveyance,Rural,89.99
HR,Haryana,27,consum. services excl. conveyance,Rural,99.45
HP,Himachal Pradesh,27,consum. services excl. conveyance,Rural,109.79
DL,NCT of Delhi,28,conveyance,Rural,184.64
GA,Goa,28,conveyance,Rural,343.79
GJ,Gujarat,28,conveyance,Rural,136.49
HR,Haryana,28,conveyance,Rural,145.71
HP,Himachal Pradesh,28,conveyance,Rural,158.56
DL,NCT of Delhi,29,rent,Rural,122.13
GA,Goa,29,rent,Rural,30.39
GJ,Gujarat,29,rent,Rural,6.17
HR,Haryana,29,rent,Rural,15.08
HP,Himachal Pradesh,29,rent,Rural,25.54
DL,NCT of Delhi,30,taxes & cesses,Rural,16.71
GA,Goa,30,taxes & cesses,Rural,48.94
GJ,Gujarat,30,taxes & cesses,Rural,9.9
HR,Haryana,30,taxes & cesses,Rural,4.36
HP,Himachal Pradesh,30,taxes & cesses,Rural,10.99
DL,NCT of Delhi,31,durable goods,Rural,133.29
GA,Goa,31,durable goods,Rural,142.87
GJ,Gujarat,31,durable goods,Rural,96.87
HR,Haryana,31,durable goods,Rural,109.23
HP,Himachal Pradesh,31,durable goods,Rural,185.35
DL,NCT of Delhi,32,non-food: total (16-31),Rural,1486.6
GA,Goa,32,non-food: total (16-31),Rural,1642.52
GJ,Gujarat,32,non-food: total (16-31),Rural,934.39
HR,Haryana,32,non-food: total (16-31),Rural,1250.99
HP,Himachal Pradesh,32,non-food: total (16-31),Rural,1465.36
DL,NCT of Delhi,33,total expenditure (15+32),Rural,2988.58
GA,Goa,33,total expenditure (15+32),Rural,3277.65
GJ,Gujarat,33,total expenditure (15+32),Rural,2033.68
HR,Haryana,33,total expenditure (15+32),Rural,2527.29
HP,Himachal Pradesh,33,total expenditure (15+32),Rural,2774.32
DL,NCT of Delhi,34,"cooked meals recd. free inworkpl.*",Rural,3.49
GA,Goa,34,"cooked meals recd. free inworkpl.*",Rural,9.19
GJ,Gujarat,34,"cooked meals recd. free inworkpl.*",Rural,1.62
HR,Haryana,34,"cooked meals recd. free inworkpl.*",Rural,2.64
HP,Himachal Pradesh,34,"cooked meals recd. free inworkpl.*",Rural,5.49
DL,NCT of Delhi,35,cooked meals recd. as assistance *,Rural,5.35
GA,Goa,35,cooked meals recd. as assistance *,Rural,0
GJ,Gujarat,35,cooked meals recd. as assistance *,Rural,23.2
HR,Haryana,35,cooked meals recd. as assistance *,Rural,12.83
HP,Himachal Pradesh,35,cooked meals recd. as assistance *,Rural,36.92
DL,NCT of Delhi,36,clothing & footwear (2nd hand) **,Rural,0.25
GA,Goa,36,clothing & footwear (2nd hand) **,Rural,0
GJ,Gujarat,36,clothing & footwear (2nd hand) **,Rural,1.13
HR,Haryana,36,clothing & footwear (2nd hand) **,Rural,0.04
HP,Himachal Pradesh,36,clothing & footwear (2nd hand) **,Rural,0.39
DL,NCT of Delhi,37,"@books, journals, etc. (2nd hand)",Rural,1.33
GA,Goa,37,"@books, journals, etc. (2nd hand)",Rural,0
GJ,Gujarat,37,"@books, journals, etc. (2nd hand)",Rural,0.67
HR,Haryana,37,"@books, journals, etc. (2nd hand)",Rural,0.33
HP,Himachal Pradesh,37,"@books, journals, etc. (2nd hand)",Rural,0.34
DL,NCT of Delhi,38,"$durables (2ndhand)",Rural,0.07
GA,Goa,38,"$durables (2ndhand)",Rural,0
GJ,Gujarat,38,"$durables (2ndhand)",Rural,1.77
HR,Haryana,38,"$durables (2ndhand)",Rural,4.19
HP,Himachal Pradesh,38,"$durables (2ndhand)",Rural,2.8
DL,NCT of Delhi,39,imputed rent,Rural,471.38
GA,Goa,39,imputed rent,Rural,965.46
GJ,Gujarat,39,imputed rent,Rural,52.59
HR,Haryana,39,imputed rent,Rural,55.79
HP,Himachal Pradesh,39,imputed rent,Rural,178.75
JK,Jammu & Kashmir,NA,(2),Rural,NA
JH,Jharkhand,NA,(2),Rural,NA
KA,Karnataka,NA,(2),Rural,NA
KL,Kerala,NA,(2),Rural,NA
MP,Madhya Pradesh,NA,(2),Rural,NA
JK,Jammu & Kashmir,1,cereal,Rural,189.58
JH,Jharkhand,1,cereal,Rural,180.76
KA,Karnataka,1,cereal,Rural,209.67
KL,Kerala,1,cereal,Rural,246.58
MP,Madhya Pradesh,1,cereal,Rural,131.94
JK,Jammu & Kashmir,2,gram,Rural,4.33
JH,Jharkhand,2,gram,Rural,3.5
KA,Karnataka,2,gram,Rural,4
KL,Kerala,2,gram,Rural,10.89
MP,Madhya Pradesh,2,gram,Rural,2.36
JK,Jammu & Kashmir,3,cereal substitutes,Rural,0
JH,Jharkhand,3,cereal substitutes,Rural,0.18
KA,Karnataka,3,cereal substitutes,Rural,0
KL,Kerala,3,cereal substitutes,Rural,12.35
MP,Madhya Pradesh,3,cereal substitutes,Rural,1.34
JK,Jammu & Kashmir,4,pulses and pulse products,Rural,47.23
JH,Jharkhand,4,pulses and pulse products,Rural,34.9
KA,Karnataka,4,pulses and pulse products,Rural,46.07
KL,Kerala,4,pulses and pulse products,Rural,46.31
MP,Madhya Pradesh,4,pulses and pulse products,Rural,52.66
JK,Jammu & Kashmir,5,milk and milk products,Rural,245.87
JH,Jharkhand,5,milk and milk products,Rural,73.36
KA,Karnataka,5,milk and milk products,Rural,120.59
KL,Kerala,5,milk and milk products,Rural,145.95
MP,Madhya Pradesh,5,milk and milk products,Rural,168.21
JK,Jammu & Kashmir,6,sugar,Rural,18.9
JH,Jharkhand,6,sugar,Rural,16.29
KA,Karnataka,6,sugar,Rural,27.41
KL,Kerala,6,sugar,Rural,31.67
MP,Madhya Pradesh,6,sugar,Rural,31.2
JK,Jammu & Kashmir,7,salt,Rural,4.88
JH,Jharkhand,7,salt,Rural,2.89
KA,Karnataka,7,salt,Rural,2.84
KL,Kerala,7,salt,Rural,2.79
MP,Madhya Pradesh,7,salt,Rural,2.06
JK,Jammu & Kashmir,8,edible oil,Rural,88.24
JH,Jharkhand,8,edible oil,Rural,65.51
KA,Karnataka,8,edible oil,Rural,58.64
KL,Kerala,8,edible oil,Rural,97.13
MP,Madhya Pradesh,8,edible oil,Rural,57.59
JK,Jammu & Kashmir,9,"egg, fish & meat",Rural,126
JH,Jharkhand,9,"egg, fish & meat",Rural,74.9
KA,Karnataka,9,"egg, fish & meat",Rural,90.76
KL,Kerala,9,"egg, fish & meat",Rural,362.08
MP,Madhya Pradesh,9,"egg, fish & meat",Rural,31.87
JK,Jammu & Kashmir,10,vegetables,Rural,157.87
JH,Jharkhand,10,vegetables,Rural,120.6
KA,Karnataka,10,vegetables,Rural,115.93
KL,Kerala,10,vegetables,Rural,146.55
MP,Madhya Pradesh,10,vegetables,Rural,112.59
JK,Jammu & Kashmir,11,fruits (fresh),Rural,50.76
JH,Jharkhand,11,fruits (fresh),Rural,26.48
KA,Karnataka,11,fruits (fresh),Rural,70.21
KL,Kerala,11,fruits (fresh),Rural,159.03
MP,Madhya Pradesh,11,fruits (fresh),Rural,39.7
JK,Jammu & Kashmir,12,fruits (dry),Rural,15.02
JH,Jharkhand,12,fruits (dry),Rural,3.61
KA,Karnataka,12,fruits (dry),Rural,21.62
KL,Kerala,12,fruits (dry),Rural,18.93
MP,Madhya Pradesh,12,fruits (dry),Rural,11.97
JK,Jammu & Kashmir,13,spices,Rural,74.2
JH,Jharkhand,13,spices,Rural,51.56
KA,Karnataka,13,spices,Rural,71.68
KL,Kerala,13,spices,Rural,97.72
MP,Madhya Pradesh,13,spices,Rural,60.58
JK,Jammu & Kashmir,14,"beverages, refreshments, etc.",Rural,168.58
JH,Jharkhand,14,"beverages, refreshments, etc.",Rural,109.2
KA,Karnataka,14,"beverages, refreshments, etc.",Rural,176.78
KL,Kerala,14,"beverages, refreshments, etc.",Rural,287.62
MP,Madhya Pradesh,14,"beverages, refreshments, etc.",Rural,112.89
JK,Jammu & Kashmir,15,food: total (1-14),Rural,1191.45
JH,Jharkhand,15,food: total (1-14),Rural,763.73
KA,Karnataka,15,food: total (1-14),Rural,1016.19
KL,Kerala,15,food: total (1-14),Rural,1665.62
MP,Madhya Pradesh,15,food: total (1-14),Rural,816.94
JK,Jammu & Kashmir,16,"pan, tobacco & intoxicants",Rural,33.75
JH,Jharkhand,16,"pan, tobacco & intoxicants",Rural,31.57
KA,Karnataka,16,"pan, tobacco & intoxicants",Rural,62.33
KL,Kerala,16,"pan, tobacco & intoxicants",Rural,69.13
MP,Madhya Pradesh,16,"pan, tobacco & intoxicants",Rural,44.18
JK,Jammu & Kashmir,17,fuel and light,Rural,179.33
JH,Jharkhand,17,fuel and light,Rural,125.19
KA,Karnataka,17,fuel and light,Rural,145.5
KL,Kerala,17,fuel and light,Rural,217.25
MP,Madhya Pradesh,17,fuel and light,Rural,165.79
JK,Jammu & Kashmir,18,clothing & bedding,Rural,149.7
JH,Jharkhand,18,clothing & bedding,Rural,105.04
KA,Karnataka,18,clothing & bedding,Rural,132.99
KL,Kerala,18,clothing & bedding,Rural,192.72
MP,Madhya Pradesh,18,clothing & bedding,Rural,110.31
JK,Jammu & Kashmir,19,footwear,Rural,41.22
JH,Jharkhand,19,footwear,Rural,16.5
KA,Karnataka,19,footwear,Rural,21.15
KL,Kerala,19,footwear,Rural,35.83
MP,Madhya Pradesh,19,footwear,Rural,23.78
JK,Jammu & Kashmir,20,education,Rural,98.26
JH,Jharkhand,20,education,Rural,44.38
KA,Karnataka,20,education,Rural,56.19
KL,Kerala,20,education,Rural,179.35
